,Trips,Fare amount (avg),Fare amount (std),Tip amount (avg),Tip amount (std),Total amount (avg),Total amount (std)
2016-06-18,60909.0,12.633746736935432,10.136948937267427,1.2847255742172947,2.6223041157201354,15.060932210356725,11.594486946993742
2016-06-09,45042.0,12.514550863638382,9.928353913576439,1.3335136095200104,2.649207847829988,15.19364326628784,11.638772658231547
2016-06-27,39832.0,12.193118096003213,10.231359826376003,1.2464787105844612,3.122187293971143,14.786577123919013,11.989842924180332
2016-06-10,50795.0,12.595622206910127,9.973632711046411,1.3321443055418964,3.0005237643153926,15.274005315490403,11.574566660123015
2016-06-28,37497.0,12.266480518441472,10.906627940558256,1.2529060991546077,2.6910995962768425,14.846199162596026,12.403940424512331
2016-06-19,52528.0,12.531992651538225,9.7563194646487,1.2154454766981446,2.4156080106176168,14.89561015078383,11.16677999076236
2016-06-29,38168.0,12.443120415007336,10.841440076137696,1.2629451372877851,2.5118554698175206,15.055370467404671,12.320647045739436
2016-06-11,59278.0,12.49462060123486,9.562704528230913,1.2956088262087313,2.974869630859157,14.922018286726143,11.138331768065314
2016-06-20,38499.0,12.244336476272116,11.298839955044706,1.2191493285540058,2.966245023461445,14.785901192235999,12.745228146902695
2016-06-21,39289.0,12.426447097151875,11.590493146203196,1.3049184250044483,3.1886183788031306,15.066245259485342,13.155886156760962
2016-06-12,48480.0,12.498888820132013,9.623879148756052,1.2581068481848283,2.437626859147024,14.905528052810025,10.979094205575354
2016-07-01,48322.0,12.292865361533053,10.802304178685553,1.2177360208600687,2.7914914214987165,14.905181697782195,12.562893113328366
2016-07-02,46427.0,12.403468240463527,9.990115605334507,1.152687875589646,2.7104542876019018,14.69241928188585,11.599369856693981
2016-07-03,41278.0,12.252131643974993,10.586952451249694,1.1210233053927137,2.4560378749438323,14.518007897668252,11.92661804485978
2016-07-04,37722.0,12.606629022851383,10.477132009249752,1.285889401410327,2.542135184833376,15.071744870364773,11.907313490717607
2016-07-05,36540.0,12.079686644772847,10.467614973925373,1.1590114942528813,2.3185340166111312,14.568774220027699,11.834029693259561
2016-07-06,30339.0,11.945107287649558,9.950109613863994,1.1247951481591414,2.2567652527647337,14.408827581655242,11.399535904341743
